Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
10 5 -5.22763 0.0 -27.2334 5.34154 -15.6102 340.647 -2208.21 338.732 -2190.73 0.0 338.732 -2190.73 37.3676 -27.2334 -1841.8638 -3.82161 -3.82161
10 6 -5.22763 0.0 -27.2334 5.34154 -15.6102 340.647 -2208.21 338.732 -2190.73 0.0 338.732 -2190.73 37.3676 -27.2334 -1841.8638 -3.82161 -3.82161
10 7 -5.22763 0.0 -27.2334 5.34154 -15.6102 340.647 -2208.21 338.732 -2190.73 0.0 338.732 -2190.73 37.3676 -27.2334 -1841.8638 -3.82161 -3.82161
10 8 -5.042263 0.0 -23.1324 5.49515 -15.0442 340.647 -2208.21 338.844 -2193.41 0.0 338.844 -2193.41 36.9068 -23.1324 -1840.7915 -2.63379 -2.63379
10 9 -5.042263 0.0 -23.1324 5.49515 -15.0442 340.647 -2208.21 338.844 -2193.41 0.0 338.844 -2193.41 36.9068 -23.1324 -1840.7915 -2.63379 -2.63379
10 10 -5.0247984 0.0 -23.0231 5.50137 -15.1026 340.647 -2208.21 338.862 -2193.37 0.0 338.862 -2193.37 37.0438 -23.0231 -1840.4873 -2.71378 -2.71378
10 11 -5.0145116 0.0 -23.06 5.50958 -15.1417 340.647 -2208.21 338.874 -2193.19 0.0 338.874 -2193.19 37.2022 -23.06 -1840.1738 -2.65966 -2.65966
11 0 -5.290082 0.0 -28.3616 5.57445 -17.9721 340.647 -2208.21 338.966 -2192.37 0.0 338.966 -2192.37 40.1932 -28.3616 -1841.5725 -4.78787 -4.78787
11 1 -5.0732064 0.0 -28.2064 5.60329 -18.4951 340.647 -2208.21 339.047 -2189.67 0.0 339.047 -2189.67 42.1526 -28.2064 -1836.6766 -2.70157 -2.70157
11 2 -5.0732064 0.0 -28.2064 5.60329 -18.4951 340.647 -2208.21 339.047 -2189.67 0.0 339.047 -2189.67 42.1526 -28.2064 -1836.6766 -2.70157 -2.70157
11 3 -5.0732064 0.0 -28.2064 5.60329 -18.4951 340.647 -2208.21 339.047 -2189.67 0.0 339.047 -2189.67 42.1526 -28.2064 -1836.6766 -2.70157 -2.70157
11 4 -5.0732064 0.0 -28.2064 5.60329 -18.4951 340.647 -2208.21 339.047 -2189.67 0.0 339.047 -2189.67 42.1526 -28.2064 -1836.6766 -2.70157 -2.70157
11 5 -5.058684 0.0 -27.9356 5.60694 -18.4525 340.647 -2208.21 339.071 -2189.84 0.0 339.071 -2189.84 42.2531 -27.9356 -1836.4517 -2.69521 -2.69521
11 6 -5.058684 0.0 -27.9356 5.60694 -18.4525 340.647 -2208.21 339.071 -2189.84 0.0 339.071 -2189.84 42.2531 -27.9356 -1836.4517 -2.69521 -2.69521
